,index,endTime,artistName,trackName,msPlayed,counts,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
190,440,2020-07-06 11:49,IC3PEAK,Плак-Плак,28453,6,3haUHC29mCGK6MrREqbONc,0.519,0.658,5.0,-8.928,1.0,0.121,0.344,0.0,0.15,0.224,158.275,audio_features,3haUHC29mCGK6MrREqbONc,spotify:track:3haUHC29mCGK6MrREqbONc,https://api.spotify.com/v1/tracks/3haUHC29mCGK6MrREqbONc,https://api.spotify.com/v1/audio-analysis/3haUHC29mCGK6MrREqbONc,203500.0,4.0
191,441,2020-07-06 11:56,Die Antwoord,Banana Brain,139021,9,6XSEz4r6cUwOZgWvE51zDT,0.74,0.93,1.0,-5.662,1.0,0.0798,0.0106,0.0156,0.128,0.254,150.085,audio_features,6XSEz4r6cUwOZgWvE51zDT,spotify:track:6XSEz4r6cUwOZgWvE51zDT,https://api.spotify.com/v1/tracks/6XSEz4r6cUwOZgWvE51zDT,https://api.spotify.com/v1/audio-analysis/6XSEz4r6cUwOZgWvE51zDT,288479.0,4.0
192,447,2020-07-06 14:24,Sebastian Ingrosso,Ride It,54875,25,0mel7qfdSZODbHyEBJm5xN,0.733,0.906,6.0,-6.057,0.0,0.0957,0.0215,9.69e-05,0.301,0.411,140.05,audio_features,0mel7qfdSZODbHyEBJm5xN,spotify:track:0mel7qfdSZODbHyEBJm5xN,https://api.spotify.com/v1/tracks/0mel7qfdSZODbHyEBJm5xN,https://api.spotify.com/v1/audio-analysis/0mel7qfdSZODbHyEBJm5xN,172625.0,4.0
193,459,2020-07-06 15:06,Silk City,Electricity (with Dua Lipa),874,49,5N4erncE7kuUccm7zEmwzk,0.588,0.67,0.0,-6.439,1.0,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,audio_features,5N4erncE7kuUccm7zEmwzk,spotify:track:5N4erncE7kuUccm7zEmwzk,https://api.spotify.com/v1/tracks/5N4erncE7kuUccm7zEmwzk,https://api.spotify.com/v1/audio-analysis/5N4erncE7kuUccm7zEmwzk,238173.0,4.0
194,461,2020-07-06 15:06,Mark Ronson,Nothing Breaks Like a Heart - Don Diablo Remix,1130,41,5xBafmhrJzzMsd1dxErIbJ,0.712,0.871,7.0,-3.571,0.0,0.225,0.179,1.94e-06,0.203,0.379,123.974,audio_features,5xBafmhrJzzMsd1dxErIbJ,spotify:track:5xBafmhrJzzMsd1dxErIbJ,https://api.spotify.com/v1/tracks/5xBafmhrJzzMsd1dxErIbJ,https://api.spotify.com/v1/audio-analysis/5xBafmhrJzzMsd1dxErIbJ,216774.0,4.0
195,462,2020-07-06 15:06,Otsochodzi,Nowy Kolor,63,12,4cIEQ6n11b04xjMqZri4ui,0.694,0.663,11.0,-6.882,0.0,0.334,0.631,0.0,0.0906,0.214,154.852,audio_features,4cIEQ6n11b04xjMqZri4ui,spotify:track:4cIEQ6n11b04xjMqZri4ui,https://api.spotify.com/v1/tracks/4cIEQ6n11b04xjMqZri4ui,https://api.spotify.com/v1/audio-analysis/4cIEQ6n11b04xjMqZri4ui,188113.0,4.0
196,463,2020-07-06 16:14,Dillon Francis,Bun Up the Dance,108352,50,2cgZfcnb639TaZhd1AU8iz,0.476,0.938,1.0,-1.446,0.0,0.234,0.0174,0.000111,0.384,0.258,105.264,audio_features,2cgZfcnb639TaZhd1AU8iz,spotify:track:2cgZfcnb639TaZhd1AU8iz,https://api.spotify.com/v1/tracks/2cgZfcnb639TaZhd1AU8iz,https://api.spotify.com/v1/audio-analysis/2cgZfcnb639TaZhd1AU8iz,214067.0,4.0
197,464,2020-07-06 16:17,Cheat Codes,Balenciaga,173706,76,5k6ioThKIxeklkIt3MNJjC,0.683,0.817,8.0,-5.531,0.0,0.215,0.064,3.35e-05,0.076,0.241,125.977,audio_features,5k6ioThKIxeklkIt3MNJjC,spotify:track:5k6ioThKIxeklkIt3MNJjC,https://api.spotify.com/v1/tracks/5k6ioThKIxeklkIt3MNJjC,https://api.spotify.com/v1/audio-analysis/5k6ioThKIxeklkIt3MNJjC,173707.0,4.0
198,465,2020-07-06 16:21,DJ Snake,Propaganda,210710,14,2AtUHFjHsm35ZiXaWclXvs,0.665,0.935,1.0,-2.973,1.0,0.0894,0.00186,0.534,0.721,0.259,150.086,audio_features,2AtUHFjHsm35ZiXaWclXvs,spotify:track:2AtUHFjHsm35ZiXaWclXvs,https://api.spotify.com/v1/tracks/2AtUHFjHsm35ZiXaWclXvs,https://api.spotify.com/v1/audio-analysis/2AtUHFjHsm35ZiXaWclXvs,249520.0,4.0
199,466,2020-07-06 16:22,Don Diablo,Save A Little Love,83690,31,5l66zJX4PpyS7b5DgoNJX9,0.625,0.91,0.0,-2.583,0.0,0.107,0.0108,0.0,0.662,0.328,122.067,audio_features,5l66zJX4PpyS7b5DgoNJX9,spotify:track:5l66zJX4PpyS7b5DgoNJX9,https://api.spotify.com/v1/tracks/5l66zJX4PpyS7b5DgoNJX9,https://api.spotify.com/v1/audio-analysis/5l66zJX4PpyS7b5DgoNJX9,202930.0,4.0
